,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
0,0,625700.0,655000,2849.0,Not specified,2.0,3.0,1164.0,CONDO,238 Kenbrook Cir,95111,SOLD,17185.893333333333,518,95111,33,44,Average,27.1,74.6,100.0
1,1,920100.0,920000,3499.0,Not specified,2.0,3.0,1287.0,SINGLE_FAMILY,473 Toyon Ave,95127,SOLD,25272.08,503,95127,26,38,Below Average,26.1,66.1,93.8
2,2,1451600.0,1420000,3959.0,Not specified,2.0,4.0,1958.0,SINGLE_FAMILY,6424 Nepo Ct,95119,SOLD,39870.61333333333,360,95119,20,29,Average,27.1,34.0,33.3
3,3,1379100.0,1379000,3697.0,Not specified,2.0,3.0,1675.0,SINGLE_FAMILY,5887 Paddon Cir,95123,SOLD,37879.28,535,95123,22,32,Average,27.6,37.1,41.7
4,4,896800.0,900000,3820.0,Not specified,3.0,5.0,1617.0,SINGLE_FAMILY,443 Mignot Ln,95111,SOLD,24632.10666666667,375,95112,43,54,Average,27.1,74.6,100.0
5,5,552000.0,552000,2385.0,Not specified,2.0,2.0,992.0,CONDO,307 Tradewinds Dr APT 9,95123,SOLD,15161.6,419,95117,33,45,Average,27.6,37.1,41.7
6,6,1108000.0,1150000,3200.0,Not specified,2.0,2.0,1428.0,SINGLE_FAMILY,461 N 15th St,95112,SOLD,30433.066666666666,482,95133,26,38,Below Average,22.7,77.2,100.0
7,7,2144400.0,2030000,4857.0,Not specified,4.0,5.0,2204.0,SINGLE_FAMILY,470 Nolden Ave,95117,SOLD,58899.52,538,95126,32,45,Average,22.5,43.0,50.0
8,8,675100.0,675000,2840.0,Not specified,2.0,2.0,1233.0,CONDO,5604 Makati Cir,95123,SOLD,18542.746666666666,454,95136,23,36,Average,27.6,37.1,41.7
9,9,1115500.0,1114000,3399.0,Not specified,3.0,3.0,1406.0,SINGLE_FAMILY,2573 Island Palm Ct,95133,SOLD,30639.066666666666,413,95129,19,28,Average,25.9,64.6,100.0
10,10,1084900.0,1180000,1999.0,Not specified,2.0,4.0,1720.0,CONDO,1009 McKendrie St,95126,SOLD,29798.586666666666,495,95128,33,45,Average,22.4,61.2,100.0
11,11,1015300.0,1100000,2819.0,Not specified,2.0,2.0,1160.0,SINGLE_FAMILY,895 Corte De Plata,95136,SOLD,27886.906666666666,396,95120,14,20,Average,27.9,46.1,80.0
12,12,1126400.0,1060000,3099.0,Not specified,2.0,2.0,1045.0,CONDO,7291 Ventana Dr,95129,SOLD,30938.45333333333,415,95124,19,27,Excellent,24.2,8.3,11.1
13,13,2100200.0,2100000,6217.0,Not specified,4.0,5.0,3864.0,SINGLE_FAMILY,5913 Taormino Ave,95123,SOLD,57685.49333333332,400,95125,21,31,Average,27.6,37.1,41.7
14,14,1800800.0,1726000,4464.0,Not specified,2.0,3.0,1976.0,SINGLE_FAMILY,2007 University Ave,95128,SOLD,49461.97333333334,377,95135,17,23,Average,22.2,61.4,60.0
15,15,2013300.0,2068000,4500.0,Not specified,2.5,4.0,2013.0,SINGLE_FAMILY,6134 Monteverde Dr,95120,SOLD,55298.64,408,95138,17,24,Excellent,29.5,11.6,0.0
16,16,625100.0,625000,2434.0,Not specified,1.0,2.0,886.0,CONDO,3186 Kimber Ct APT 91,95124,SOLD,17169.413333333334,417,95121,22,32,Above Average,24.7,12.9,50.0
17,17,735100.0,735000,2799.0,Not specified,2.0,2.0,1006.0,CONDO,2968 Moorpark Ave APT 8,95128,SOLD,20190.746666666666,469,95116,47,56,Average,22.2,61.4,60.0
18,18,2230200.0,2230000,4892.0,Not specified,3.0,3.0,2110.0,SINGLE_FAMILY,1463 Mercer Ave,95125,SOLD,61256.16,511,95132,21,30,Average,24.3,40.4,50.0
19,19,1950900.0,2225000,4718.0,Not specified,2.0,3.0,1942.0,SINGLE_FAMILY,1263 Glenwood Ave,95125,SOLD,53584.72,483,95148,19,27,Average,24.3,40.4,50.0
20,20,2367200.0,2367000,5214.0,Not specified,3.0,4.0,2428.0,SINGLE_FAMILY,1851 Kirkmont Dr,95124,SOLD,65019.09333333334,421,95118,22,32,Above Average,24.7,12.9,50.0
21,21,1100100.0,1100000,3463.0,Not specified,2.0,2.0,1715.0,SINGLE_FAMILY,8048 Chardonay Ct,95135,SOLD,30216.08,429,95110,43,53,Excellent,33.5,7.9,0.0
22,22,1000100.0,1000000,3584.0,Not specified,2.0,3.0,1358.0,SINGLE_FAMILY,479 Northgate Dr,95111,SOLD,27469.41333333333,359,95122,39,49,Average,27.1,74.6,100.0
23,23,615100.0,615000,2699.0,Not specified,2.0,2.0,1008.0,CONDO,3203 Kenhill Dr,95111,SOLD,16894.746666666666,489,95113,24,39,Average,27.1,74.6,100.0
24,24,1775500.0,1870000,4544.0,Not specified,3.0,4.0,1817.0,SINGLE_FAMILY,2798 Custer Dr,95124,SOLD,48767.06666666666,499,95111,33,44,Above Average,24.7,12.9,50.0
25,25,2053300.0,2375000,5955.0,Not specified,4.0,5.0,2848.0,SINGLE_FAMILY,1791 Montemar Way,95125,SOLD,56397.306666666664,514,95127,26,38,Average,24.3,40.4,50.0
26,26,740700.0,715000,2849.0,Not specified,3.0,2.0,1093.0,TOWNHOUSE,6921 Rodling Dr UNIT E,95138,SOLD,20344.56,461,95119,20,29,Excellent,28.4,10.8,0.0
27,27,939200.0,920000,3595.0,Not specified,3.0,2.0,1667.0,TOWNHOUSE,1122 Campbell Ave,95126,SOLD,25796.693333333336,402,95123,22,32,Average,22.4,61.2,100.0
28,28,790100.0,790000,2999.0,Not specified,3.0,2.0,1318.0,TOWNHOUSE,5551 Makati Cir,95123,SOLD,21701.413333333334,516,95111,33,44,Average,27.6,37.1,41.7
29,29,,1222000,3462.0,Not specified,3.0,2.0,1350.0,TOWNHOUSE,5139 Le Miccine Ter,95129,SOLD,,528,95123,22,32,Excellent,24.2,8.3,11.1
30,30,1796100.0,1858000,4600.0,Not specified,3.0,5.0,2417.0,SINGLE_FAMILY,4015 Lylewood Ct,95121,SOLD,49332.88,374,95112,43,54,Above Average,26.4,50.0,60.0
31,31,948700.0,1100000,3800.0,Not specified,2.0,4.0,1495.0,SINGLE_FAMILY,482 Shawnee Ln,95123,SOLD,26057.62666666667,440,95117,33,45,Average,27.6,37.1,41.7
32,32,928200.0,912000,3393.0,Not specified,2.0,3.0,1272.0,SINGLE_FAMILY,65 N 25th St,95116,SOLD,25494.56,468,95123,22,32,Below Average,24.4,84.7,100.0
33,33,854500.0,800000,3499.0,Not specified,3.0,3.0,1360.0,TOWNHOUSE,4852 Scout Ct,95136,SOLD,23470.266666666666,443,95133,26,38,Average,27.9,46.1,80.0
34,34,620900.0,622000,2567.0,Not specified,2.0,2.0,988.0,CONDO,1878 Tradan Dr,95132,SOLD,17054.053333333333,509,95126,32,45,Above Average,22.9,34.0,45.5
35,35,1615700.0,1715000,3928.0,Not specified,2.0,4.0,1772.0,SINGLE_FAMILY,3048 Rollingwood Ct,95148,SOLD,44377.89333333333,429,95136,23,36,Above Average,28.9,35.6,41.7
36,36,851800.0,895000,3234.0,Not specified,3.0,3.0,1377.0,CONDO,6945 Rodling Dr UNIT F,95138,SOLD,23396.10666666667,480,95129,19,28,Excellent,28.4,10.8,0.0
37,37,1900400.0,1920000,4998.0,Not specified,3.0,5.0,2829.0,SINGLE_FAMILY,1653 Garvey Pl,95132,SOLD,52197.65333333334,483,95123,22,32,Above Average,22.9,34.0,45.5
38,38,450000.0,450000,2914.0,Not specified,2.0,2.0,1240.0,CONDO,5120 Cribari Pl,95135,SOLD,12360.0,400,95128,33,45,Excellent,33.5,7.9,0.0
39,39,1551300.0,1595000,4305.0,Not specified,3.0,4.0,2448.0,SINGLE_FAMILY,5638 Wells Ct,95123,SOLD,42609.04,475,95120,14,20,Average,27.6,37.1,41.7
40,40,1800200.0,1800000,3798.0,Not specified,2.0,3.0,1297.0,SINGLE_FAMILY,2345 Carlton Ave,95124,SOLD,49445.49333333333,542,95124,19,27,Above Average,24.7,12.9,50.0
41,41,2630200.0,2630000,5284.0,Not specified,3.0,5.0,2565.0,SINGLE_FAMILY,5610 Domaine Dr,95118,SOLD,72242.82666666666,547,95128,33,45,Average,26.2,28.2,44.4
42,42,1337300.0,1310000,3699.0,Not specified,2.0,3.0,1649.0,SINGLE_FAMILY,5722 Crow Ln,95123,SOLD,36731.17333333333,526,95125,21,31,Average,27.6,37.1,41.7
43,43,1336700.0,1245000,3999.0,Not specified,3.0,4.0,2009.0,SINGLE_FAMILY,5077 Gazania Dr,95111,SOLD,36714.693333333336,509,95125,21,31,Average,27.1,74.6,100.0
44,44,1100000.0,1190000,3390.0,Not specified,1.0,3.0,1150.0,SINGLE_FAMILY,455 Macarthur Ave,95128,SOLD,30213.33333333333,433,95124,19,27,Average,22.2,61.4,60.0
45,45,744800.0,730000,3278.0,Not specified,1.0,3.0,1136.0,SINGLE_FAMILY,1057 Chestnut St,95110,SOLD,20457.17333333333,525,95135,17,23,Below Average,21.8,76.4,100.0
46,46,745300.0,755000,2949.0,Not specified,1.0,2.0,880.0,SINGLE_FAMILY,108 S 23rd St,95116,SOLD,20470.906666666666,528,95111,33,44,Below Average,24.4,84.7,100.0
47,47,1086200.0,1050297,2868.0,Not specified,,,1528.0,MULTI_FAMILY,766 N 16th St,95112,SOLD,29834.29333333333,410,95111,33,44,Below Average,22.7,77.2,100.0
48,48,1044400.0,1130000,4043.0,Not specified,2.0,3.0,1447.0,SINGLE_FAMILY,572 Macarthur Ave,95128,SOLD,28686.186666666665,450,95124,19,27,Average,22.2,61.4,60.0
49,49,870900.0,850000,3384.0,Not specified,3.0,2.0,1457.0,TOWNHOUSE,2768 Ferrara Cir,95111,SOLD,23920.72,440,95125,21,31,Average,27.1,74.6,100.0
50,50,1035100.0,1035000,1809.0,Not specified,,,1904.0,MULTI_FAMILY,101 Oak St,95110,SOLD,28430.746666666666,405,95138,17,24,Below Average,21.8,76.4,100.0
51,51,1395200.0,1395000,4964.0,Not specified,4.0,5.0,2666.0,SINGLE_FAMILY,767 Portofino Pl,95136,SOLD,38321.49333333333,449,95126,32,45,Average,27.9,46.1,80.0
52,52,710100.0,710000,3769.0,Not specified,2.0,4.0,1324.0,SINGLE_FAMILY,700 Jasper St,95116,SOLD,19504.08,358,95123,22,32,Below Average,24.4,84.7,100.0
53,53,577500.0,575000,2626.0,Not specified,2.0,2.0,1004.0,CONDO,1010 Summerplace Dr,95122,SOLD,15862.0,543,95129,19,28,Average,25.2,83.5,100.0
54,54,1350200.0,1350000,4544.0,Not specified,3.0,4.0,1856.0,SINGLE_FAMILY,2175 Laurelei Ave,95128,SOLD,37085.49333333333,445,95121,22,32,Average,22.2,61.4,60.0
55,55,885100.0,885000,3378.0,Not specified,2.0,3.0,1120.0,SINGLE_FAMILY,881 Cotton Tail Ave,95116,SOLD,24310.746666666666,536,95123,22,32,Below Average,24.4,84.7,100.0
56,56,1524600.0,1600000,3679.0,Not specified,2.0,3.0,1250.0,SINGLE_FAMILY,1404 Gerhardt Ave,95125,SOLD,41875.68,362,95116,47,56,Average,24.3,40.4,50.0
57,57,1070100.0,1070000,4234.0,Not specified,4.0,4.0,1917.0,TOWNHOUSE,522 S 22nd St,95116,SOLD,29392.08,476,95136,23,36,Below Average,24.4,84.7,100.0
58,58,620100.0,620000,2898.0,Not specified,2.0,3.0,1165.0,TOWNHOUSE,2140 Galveston Ave UNIT C,95122,SOLD,17032.08,452,95132,21,30,Average,25.2,83.5,100.0
59,59,1800300.0,1800000,3949.0,Not specified,2.0,3.0,1571.0,SINGLE_FAMILY,991 Twin Brook Dr,95126,SOLD,49448.24,352,95148,19,27,Average,22.4,61.2,100.0
60,60,1650300.0,1650000,3949.0,Not specified,2.0,3.0,1490.0,SINGLE_FAMILY,2133 Cherry Ave,95125,SOLD,45328.24,524,95138,17,24,Average,24.3,40.4,50.0
61,61,3430600.0,3430000,6813.0,Not specified,4.5,5.0,3706.0,SINGLE_FAMILY,2301 Richland Ave,95125,SOLD,94227.14666666668,447,95132,21,30,Average,24.3,40.4,50.0
62,62,3425600.0,3425000,6725.0,Not specified,4.0,4.0,3488.0,SINGLE_FAMILY,1882 University Ave,95126,SOLD,94089.81333333332,468,95135,17,23,Average,22.4,61.2,100.0
63,63,930200.0,930000,2379.0,Not specified,3.0,6.0,2020.0,MULTI_FAMILY,289 N 11th St,95112,SOLD,25549.493333333336,478,95123,22,32,Below Average,22.7,77.2,100.0
64,64,1281600.0,1280000,3499.0,Not specified,2.0,3.0,1032.0,SINGLE_FAMILY,2282 Aram Ave,95128,SOLD,35201.28,356,95124,19,27,Average,22.2,61.4,60.0
65,65,,225000,2148.0,Not specified,2.0,2.0,800.0,MANUFACTURED,2580 Whispering Hills Cir #2580,95148,SOLD,,541,95118,22,32,Above Average,28.9,35.6,41.7
66,66,1860300.0,1860000,3587.0,Not specified,2.0,2.0,1646.0,SINGLE_FAMILY,1775 University Way,95126,SOLD,51096.24,449,95123,22,32,Average,22.4,61.2,100.0
67,67,763100.0,763000,3130.0,Not specified,2.0,3.0,1214.0,SINGLE_FAMILY,1731 Crucero Dr,95122,SOLD,20959.81333333333,492,95111,33,44,Average,25.2,83.5,100.0
68,68,1480300.0,1480000,3949.0,Not specified,2.0,3.0,1514.0,SINGLE_FAMILY,1474 Darlene Ave,95125,SOLD,40658.90666666666,501,95128,33,45,Average,24.3,40.4,50.0
69,69,1204500.0,1250000,3298.0,Not specified,2.0,3.0,1044.0,SINGLE_FAMILY,863 College Dr,95128,SOLD,33083.6,527,95110,43,53,Average,22.2,61.4,60.0
70,70,1750400.0,1750000,4185.0,Not specified,3.0,3.0,2160.0,SINGLE_FAMILY,570 Minnesota Ave,95125,SOLD,48077.65333333334,484,95116,47,56,Average,24.3,40.4,50.0
71,71,1089200.0,1089000,4093.0,Not specified,3.0,5.0,2104.0,SINGLE_FAMILY,210 Sedona Pl,95116,SOLD,29916.693333333336,427,95112,43,54,Below Average,24.4,84.7,100.0
72,72,800200.0,800000,2984.0,Not specified,2.0,2.0,1118.0,CONDO,809 Auzerais Ave UNIT 403,95126,SOLD,21978.826666666668,453,95128,33,45,Average,22.4,61.2,100.0
73,73,861400.0,225000,3483.0,Not specified,2.0,3.0,1040.0,SINGLE_FAMILY,1928 Biscayne Way,95122,SOLD,23659.78666666667,400,95111,33,44,Average,25.2,83.5,100.0
74,74,981800.0,158000,3599.0,Not specified,3.0,5.0,1851.0,SINGLE_FAMILY,1606 Waverly Ave,95122,SOLD,26966.77333333333,507,95110,43,53,Average,25.2,83.5,100.0
75,75,378200.0,378000,1836.0,Not specified,1.0,1.0,519.0,CONDO,516 Martha St UNIT 203,95112,SOLD,10387.893333333332,495,95136,23,36,Below Average,22.7,77.2,100.0
76,76,1371500.0,1371000,3814.0,Not specified,2.0,3.0,1562.0,SINGLE_FAMILY,584 Coe Ave,95125,SOLD,37670.53333333333,419,95116,47,56,Average,24.3,40.4,50.0
77,77,890400.0,890000,3399.0,Not specified,2.0,3.0,1111.0,SINGLE_FAMILY,1932 McLaughlin Ave,95122,SOLD,24456.32,519,95122,39,49,Average,25.2,83.5,100.0
78,78,1300500.0,1300000,2292.0,Not specified,2.0,5.0,2019.0,MULTI_FAMILY,734 Illinois Ave,95125,SOLD,35720.4,405,95128,33,45,Average,24.3,40.4,50.0
79,79,750300.0,750000,3099.0,Not specified,1.0,2.0,1250.0,SINGLE_FAMILY,1298 Plum St,95110,SOLD,20608.24,522,95116,47,56,Below Average,21.8,76.4,100.0
80,80,537700.0,537500,2614.0,Not specified,2.0,2.0,961.0,CONDO,1061 Summerain Ct,95122,SOLD,14768.826666666666,361,95125,21,31,Average,25.2,83.5,100.0
81,81,880400.0,880000,3692.0,Not specified,2.0,4.0,1381.0,SINGLE_FAMILY,1391 Bal Harbor Way,95122,SOLD,24181.653333333332,458,95116,47,56,Average,25.2,83.5,100.0
82,82,429200.0,429000,2564.0,Not specified,1.0,2.0,953.0,CONDO,2201 Summereve Ct,95122,SOLD,11788.693333333333,435,95122,39,49,Average,25.2,83.5,100.0
83,83,705300.0,705000,2949.0,Not specified,2.0,2.0,1095.0,CONDO,727 Northrup St,95126,SOLD,19372.24,423,95126,32,45,Average,22.4,61.2,100.0
84,84,,650000,2662.0,Not specified,2.0,2.0,1054.0,CONDO,1528 Alma Ter,95125,SOLD,,505,95125,21,31,Average,24.3,40.4,50.0
85,85,605300.0,605000,2525.0,Not specified,1.0,2.0,885.0,TOWNHOUSE,2303 Warfield Way UNIT A,95122,SOLD,16625.573333333334,532,95125,21,31,Average,25.2,83.5,100.0
86,86,,782000,3770.0,Not specified,2.0,4.0,1291.0,SINGLE_FAMILY,386 Brown Ave,95125,SOLD,,429,95126,32,45,Average,24.3,40.4,50.0
87,87,569300.0,569000,2635.0,Not specified,1.0,1.0,888.0,CONDO,1375 Lick Ave APT 123,95110,SOLD,15636.773333333334,542,95112,43,54,Below Average,21.8,76.4,100.0
88,88,1120600.0,1120000,3499.0,Not specified,2.0,3.0,1232.0,SINGLE_FAMILY,2658 Kimball Dr,95121,SOLD,30779.14666666667,487,95128,33,45,Above Average,26.4,50.0,60.0
89,89,1007500.0,1000000,3599.0,Not specified,2.0,4.0,1453.0,SINGLE_FAMILY,1653 Trieste Ct,95122,SOLD,27672.66666666667,537,95148,19,27,Average,25.2,83.5,100.0
90,90,560300.0,560000,2749.0,Not specified,2.0,2.0,1026.0,TOWNHOUSE,2664 Senter Rd APT 126,95111,SOLD,15389.573333333336,517,95126,32,45,Average,27.1,74.6,100.0
91,91,541300.0,541000,2469.0,Not specified,1.0,2.0,885.0,CONDO,2256 Warfield Way UNIT B,95122,SOLD,14867.706666666667,546,95122,39,49,Average,25.2,83.5,100.0
92,92,1219800.0,1219000,3052.0,Not specified,1.0,2.0,1470.0,SINGLE_FAMILY,696 Coe Ave,95125,SOLD,33503.84,360,95125,21,31,Average,24.3,40.4,50.0
93,93,1158900.0,1158000,3569.0,Not specified,3.0,3.0,1780.0,SINGLE_FAMILY,625 S 5th St,95112,SOLD,31831.12,465,95128,33,45,Below Average,22.7,77.2,100.0
94,94,1089800.0,1089000,3588.0,Not specified,2.0,4.0,1350.0,SINGLE_FAMILY,1304 Shoreview Ct,95122,SOLD,29933.17333333333,391,95125,21,31,Average,25.2,83.5,100.0
95,95,1922600.0,1921000,4481.0,Not specified,4.0,4.0,2536.0,SINGLE_FAMILY,585 Margaret St,95112,SOLD,52807.41333333333,549,95116,47,56,Below Average,22.7,77.2,100.0
96,96,405300.0,405000,1999.0,Not specified,1.0,1.0,666.0,CONDO,2747 Lone Bluff Way,95111,SOLD,11132.24,509,95126,32,45,Average,27.1,74.6,100.0
97,97,1695800.0,497500,4500.0,Not specified,3.0,4.0,2019.0,SINGLE_FAMILY,56 Cleaves Ave,95126,SOLD,46577.97333333334,352,95122,39,49,Average,22.4,61.2,100.0
98,98,1006300.0,256500,3599.0,Not specified,2.0,4.0,1350.0,SINGLE_FAMILY,1338 Sunnycrest Cir,95122,SOLD,27639.706666666665,537,95122,39,49,Average,25.2,83.5,100.0
99,99,1451300.0,1450000,3800.0,Not specified,2.0,3.0,1472.0,SINGLE_FAMILY,680 S 12th St,95112,SOLD,39862.37333333333,407,95112,43,54,Below Average,22.7,77.2,100.0
100,100,915800.0,915000,3432.0,Not specified,2.0,3.0,1178.0,SINGLE_FAMILY,1089 Saddlewood Dr,95121,SOLD,25153.97333333333,419,95125,21,31,Above Average,26.4,50.0,60.0
101,101,885900.0,260000,3457.0,Not specified,2.0,3.0,1047.0,SINGLE_FAMILY,1901 S King Rd,95122,SOLD,24332.72,504,95122,39,49,Average,25.2,83.5,100.0
102,102,570500.0,570000,2749.0,Not specified,2.0,2.0,1026.0,CONDO,2664 Senter Rd APT 220,95111,SOLD,15669.733333333335,467,95125,21,31,Average,27.1,74.6,100.0
103,103,860800.0,860000,1550.0,Not specified,,,2400.0,MULTI_FAMILY,787 State St #B,95110,SOLD,23643.306666666664,478,95110,43,53,Below Average,21.8,76.4,100.0
104,104,835800.0,835000,2355.0,Not specified,,,1320.0,MULTI_FAMILY,1192 S 3rd St,95112,SOLD,22956.64,502,95122,39,49,Below Average,22.7,77.2,100.0
105,105,1081000.0,246363,3800.0,Not specified,3.0,4.0,1579.0,SINGLE_FAMILY,1057 Saddlewood Dr,95121,SOLD,29691.46666666667,426,95122,39,49,Above Average,26.4,50.0,60.0
106,106,505500.0,505000,2214.0,Not specified,1.0,1.0,784.0,CONDO,1433 Alma Loop,95125,SOLD,13884.4,355,95122,39,49,Average,24.3,40.4,50.0
107,107,2016900.0,2000000,5969.0,Not specified,5.0,14.0,4999.0,SINGLE_FAMILY,818 S 3rd St,95112,SOLD,55397.52,519,95126,32,45,Below Average,22.7,77.2,100.0
108,108,661300.0,650000,2792.0,Not specified,2.0,2.0,1061.0,CONDO,125 Patterson St UNIT 317,95112,SOLD,18163.706666666665,466,95125,21,31,Below Average,22.7,77.2,100.0
109,109,952000.0,216000,2728.0,Not specified,1.0,2.0,1020.0,SINGLE_FAMILY,582 S Almaden Ave,95110,SOLD,26148.266666666666,384,95122,39,49,Below Average,21.8,76.4,100.0
110,110,907200.0,877000,3835.0,Not specified,3.0,4.0,1956.0,CONDO,80 E Virginia St UNIT 1,95112,SOLD,24917.76,360,95125,21,31,Below Average,22.7,77.2,100.0
111,111,516800.0,499000,2243.0,Not specified,1.0,1.0,710.0,CONDO,125 Patterson St UNIT 204,95112,SOLD,14194.773333333334,453,95110,43,53,Below Average,22.7,77.2,100.0
112,112,892400.0,855000,3508.0,Not specified,3.0,4.0,964.0,SINGLE_FAMILY,735 State St,95110,SOLD,24511.25333333333,504,95121,22,32,Below Average,21.8,76.4,100.0
113,113,964600.0,916000,3728.0,Not specified,2.0,3.0,1250.0,SINGLE_FAMILY,757 S 3rd St,95112,SOLD,26494.346666666668,502,95122,39,49,Below Average,22.7,77.2,100.0
114,114,727400.0,688000,2939.0,Not specified,2.0,1.0,1397.0,CONDO,125 Patterson St UNIT 107,95112,SOLD,19979.253333333334,536,95111,33,44,Below Average,22.7,77.2,100.0
115,115,775000.0,720000,3069.0,Not specified,1.0,2.0,1168.0,SINGLE_FAMILY,739 S 5th St,95112,SOLD,21286.666666666668,497,95122,39,49,Below Average,22.7,77.2,100.0
116,116,592800.0,550000,2434.0,Not specified,1.0,1.0,894.0,CONDO,125 Patterson St UNIT 120,95112,SOLD,16282.24,466,95125,21,31,Below Average,22.7,77.2,100.0
117,117,752000.0,680000,2928.0,Not specified,2.0,2.0,1218.0,CONDO,125 Patterson St UNIT 234,95112,SOLD,20654.933333333334,454,95112,43,54,Below Average,22.7,77.2,100.0
118,118,735900.0,655000,2910.0,Not specified,2.0,2.0,1207.0,CONDO,125 Patterson St UNIT 134,95112,SOLD,20212.72,508,95122,39,49,Below Average,22.7,77.2,100.0
119,119,790600.0,700000,2939.0,Not specified,2.0,1.0,1397.0,CONDO,125 Patterson St UNIT 123,95112,SOLD,21715.146666666667,491,95112,43,54,Below Average,22.7,77.2,100.0
120,120,700800.0,700000,2792.0,Not specified,2.0,2.0,1061.0,CONDO,125 Patterson St UNIT 113,95112,SOLD,19248.64,491,95111,33,44,Below Average,22.7,77.2,100.0
121,121,645400.0,570000,2434.0,Not specified,1.0,1.0,894.0,CONDO,125 Patterson St UNIT 302,95112,SOLD,17726.986666666668,402,95126,32,45,Below Average,22.7,77.2,100.0
122,122,1085400.0,1012500,3614.0,Not specified,1.0,3.0,1272.0,SINGLE_FAMILY,742 State St,95110,SOLD,29812.32,455,95122,39,49,Below Average,21.8,76.4,100.0
123,123,773700.0,677000,2939.0,Not specified,2.0,1.0,1397.0,CONDO,125 Patterson St UNIT 103,95112,SOLD,21250.960000000006,388,95112,43,54,Below Average,22.7,77.2,100.0
124,124,,1590000,2300.0,Not specified,,,3376.0,APARTMENT,143 W Reed St APT 1,95110,SOLD,,357,95121,22,32,Below Average,21.8,76.4,100.0
125,125,769300.0,665000,2799.0,Not specified,2.0,2.0,1061.0,MULTI_FAMILY,125 Patterson St UNIT 125,95112,SOLD,21130.106666666667,510,95122,39,49,Below Average,22.7,77.2,100.0
126,126,,1100000,1930.0,Not specified,,,2300.0,APARTMENT,826 S 3rd St,95112,SOLD,,532,95111,33,44,Below Average,22.7,77.2,100.0
